FeatureID	HEB-0N-1	HEB-0N-2	HEB-0N-3	HEB-0N-4	HEB-0N-5	HEB-N-1	HEB-N-2	HEB-N-3	HEB-N-4	HEB-N-5	NMG-0N-1	NMG-0N-2	NMG-0N-3	NMG-0N-4	NMG-0N-5	NMG-N-1	NMG-N-2	NMG-N-3	NMG-N-4	NMG-N-5	XJ-HN-1	XJ-HN-2	XJ-HN-3	XJ-HN-4	XJ-HN-5	XJ-LN-1	XJ-LN-2	XJ-LN-3	XJ-LN-4	XJ-LN-5
bc048c986bec4c3544770b94277ab997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0bfe1e670932fbde32707a8a1ca3c63e	10	14	0	0	0	0	0	0	0	8	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eee2998661085b332fe900a43e3806d5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0
6a24d7681018909b182686d2e6f202c9	0	37	0	0	0	0	0	0	0	0	0	85	0	0	0	46	32	0	29	0	0	177	0	395	387	763	448	255	528	425
c81bcaaa623fc50804269488a385dc88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0
54e2f0a1d45143eda54c2ac8fcbfb955	0	0	0	0	0	0	0	0	0	0	0	8	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70d5c81231a8f1db641f19dc7540e1ff	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
9e1194f63135aafededb9226efdd5fca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
2fbf53c8eabc1b2f11110a7702e1d9dd	0	25	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
596f79d9c93f737158edd9be0073a557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	30	0
3eabbdfa545cc7e94d38e2852e15bd4f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
be184af0d090f721d2636508634472c4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
22526b74fc754c9c6a69be2ed464b814	50	0	27	0	0	45	20	0	62	11	883	29	30	0	0	0	49	66	0	0	0	0	0	0	0	0	0	0	0	21
3efbb2eae5843894613dfffef0759537	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cf1bec24631fef69064501fc74977aae	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1a5074f85afa9c49ee3433801880bdc8	0	54	10	0	0	0	0	8	22	0	0	0	0	10	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0
