FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
9443b0d5fafe988cacbce7b99a5f1d0c	Bacteria	NA	NA	NA	NA	Unclassified	Unclassified	0.999968753
a5424cfdf0cb47bfd4b811d2a196bc8b	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	uncultured_soil	0.885671932
399a2eec7b17dd6b3f28ceb46e7c3d0a	Bacteria	NA	NA	NA	NA	Unclassified	Unclassified	0.99999982
4fcb6cd30205c1d9614b5b843a448f30	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Unclassified	0.860430833
db4eaef3119e70d2476dc7f82e1f649f	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonadaceae	uncultured_bacterium	0.857017998
a00f530f8b01cfd41e79c142a2a45e49	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	Unclassified	0.792929334
947d8596188e0ea3d11709a151a1dd26	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Unclassified	0.799437979
daed61883c2dba4d8d2014294d942caa	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Unclassified	Unclassified	0.985901493
08186b1fa6aac1d85be5279c1fa5cf37	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA	Unclassified	Unclassified	0.921835979
808fb84fcb05a6ce1298de73c06ed836	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	Nannocystis	Unclassified	0.9984301
665ea141e96b0046fa5764b9cc795a7b	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Phycicoccus	Unclassified	0.998714073
7202aa89e4d12f0a79c7c2e7484db136	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	Unclassified	0.999335062
f39152a365035e503c830691abe16ffe	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	Unclassified	0.995677006
0ccccab3e408bed7a40741ed4f55445d	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter	Unclassified	0.891159824
52de32172aa3151d8c84adb55bc16139	Bacteria	Actinobacteriota	Actinobacteria	NA	NA	Unclassified	Unclassified	0.920563637
af90c31501958684af2a44df05cf8e24	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	uncultured	Unclassified	Unclassified	0.996535562
7d8092bbfa25da3ad54d98a3c7120e56	Bacteria	Actinobacteriota	MB-A2-108	MB-A2-108	MB-A2-108	MB-A2-108	uncultured_bacterium	0.939668249
b0ed8d7b1b7afe9dbdf4ab3ee27e5b49	Bacteria	Cyanobacteria	Sericytochromatia	Sericytochromatia	Sericytochromatia	Sericytochromatia	Unclassified	0.999354712
6aa6f3b0078030db2530192c6d39c039	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NA	Unclassified	Unclassified	0.953601238
e2543d028f6ec820fe16f2c4cda55635	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	uncultured	Unclassified	Unclassified	0.955334273
f09d4b168b51e0ba103c4e1254f4abef	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria	Unclassified	0.83301786
657ca12fa85efbe080533e9e59bb8bae	Bacteria	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	uncultured_Myxococcales	0.999719115
50f3db2bed7f87a21eb47dc88465b6ae	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	Unclassified	0.997428566
